FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
computer science,computer_science,,,anthropology,Anthropology,,computer science,TRUE,,master,master,,bachelor,Bachelor,,master,TRUE
mathematics,mathematics,,,archaeology,Archaeology,,mathematics,TRUE,,bachelor,bachelor,,master,Master,,bachelor,TRUE
physics,physics,,,history,History,,physics,TRUE,,phd,phd,,phd,PhD,,phd,TRUE
economics,business_administration_economics,,,linguistics_and_languages,Linguistics and Languages,,economics,TRUE,,alumni,master,,,,,alumni,TRUE
mechanical engineering,mechanical_engineering,,,philosophy,Philosophy,,mechanical engineering,TRUE,,other,master,,,,,other,TRUE
other,other,,,religion,Religion,,other,TRUE,,bsc,bachelor,,,,,bsc,TRUE
chemistry,chemistry,,,literature_arts,Literature & Arts,,chemistry,TRUE,,msc,master,,,,,msc,TRUE
law,law,,,business_administration_economics,Business Administration & Economics,,law,TRUE,,alumnus,master,,,,,alumnus,TRUE
biology,life_sciences,,,geography,Geography,,biology,TRUE,,postdoc,phd,,,,,postdoc,TRUE
electrical engineering,electrical_engineering,,,political_science,Political science,,electrical engineering,TRUE,,mba,master,,,,,mba,TRUE
business administration,business_administration_economics,,,psychology,Psychology,,business administration,TRUE,,experience (3-5years),master,,,,,experience (3-5years),TRUE
accounting,finance,,,sociology,Sociology,,accounting,TRUE,,experienced (0-2 years),master,,,,,experienced (0-2 years),TRUE
social sciences,sociology,,,life_sciences,Life Sciences,,social sciences,TRUE,,assessment,bachelor,,,,,assessment,TRUE
psychology,psychology,,,chemistry,Chemistry,,psychology,TRUE,,a-levels,bachelor,,,,,a-levels,TRUE
banking & finance,finance,,,earth_sciences,Earth sciences,,banking & finance,TRUE,,ph.d.,phd,,,,,ph.d.,TRUE
marketing / communication,journalism_media_studies_and_communication,,,physics,Physics,,marketing / communication,TRUE,,experienced professional,master,,,,,experienced professional,TRUE
data science,computer_science,,,space_sciences,Space sciences,,data science,TRUE,,experienced,master,,,,,experienced,TRUE
engineering,mechanical_engineering,,,astronomy,Astronomy,,engineering,TRUE,,1ère année,bachelor,,,,,1ère année,TRUE
